ts_code,symbol,vol_ratio,rise_pct,upper_shadow,close,trade_date,winner_close,winner_low90,zone_chips,note
600088.SH,600088,2.14,3.49,2.05,15.12,20260506,43.38,4.11,39.27,39.3%
600158.SH,600158,2.28,4.14,2.62,12.34,20260506,88.63,37.9,50.73,50.7%
600171.SH,600171,2.04,4.15,0.87,29.89,20260506,73.32,19.44,53.88,53.9%
600203.SH,600203,3.2,5.49,2.21,12.88,20260506,94.95,28.95,66.0,66.0%
600373.SH,600373,2.48,2.89,0.48,8.54,20260506,25.66,0.46,25.2,25.2%
600609.SH,600609,2.08,3.73,1.49,4.17,20260506,45.8,0.32,45.48,45.5%
600667.SH,600667,2.4,5.94,3.34,10.16,20260506,71.23,3.77,67.46,67.5%
600703.SH,600703,2.02,7.39,2.63,14.68,20260506,63.28,23.99,39.29,39.3%
600737.SH,600737,2.01,4.85,1.99,15.78,20260506,55.83,12.44,43.39,43.4%
600775.SH,600775,2.23,4.05,2.75,12.85,20260506,27.33,0.08,27.25,27.2%
600800.SH,600800,3.46,6.97,3.05,4.91,20260506,75.41,14.48,60.93,60.9%
600845.SH,600845,3.66,5.82,0.75,24.0,20260506,86.13,9.13,77.0,77.0%
600988.SH,600988,2.14,8.18,0.45,41.11,20260506,50.17,4.27,45.9,45.9%
601199.SH,601199,4.65,6.03,2.07,5.63,20260506,42.75,1.52,41.23,41.2%
601519.SH,601519,2.93,5.57,3.32,10.81,20260506,56.71,0.8,55.91,55.9%
603019.SH,603019,2.1,7.36,2.65,99.8,20260506,95.22,32.09,63.13,63.1%
603030.SH,603030,3.11,6.04,2.64,2.81,20260506,89.36,45.68,43.68,43.7%
603075.SH,603075,2.08,2.8,0.68,24.2,20260506,98.13,11.61,86.52,86.5%
603091.SH,603091,2.68,2.7,2.99,83.25,20260506,82.15,23.18,58.97,59.0%
603112.SH,603112,2.26,7.52,1.69,22.31,20260506,95.26,15.71,79.55,79.6%
603120.SH,603120,2.74,6.01,0.54,41.47,20260506,97.37,5.59,91.78,91.8%
603126.SH,603126,2.46,4.28,2.69,8.53,20260506,96.41,23.21,73.2,73.2%
603131.SH,603131,2.69,5.99,3.33,23.87,20260506,73.99,46.46,27.53,27.5%
603261.SH,603261,3.23,4.0,1.01,35.14,20260506,30.8,5.12,25.68,25.7%
603297.SH,603297,2.94,5.89,3.47,121.52,20260506,89.55,31.06,58.49,58.5%
603312.SH,603312,2.45,3.82,0.68,41.0,20260506,74.68,3.15,71.53,71.5%
603515.SH,603515,2.43,6.42,1.28,21.56,20260506,98.35,78.9,19.45,19.4%
603767.SH,603767,2.25,4.84,2.52,20.35,20260506,63.1,5.23,57.87,57.9%
603859.SH,603859,2.25,4.95,2.42,41.14,20260506,64.95,10.74,54.21,54.2%
