ts_code,name,industry,vol_ratio,rise_pct,upper_shadow,close,zone_chips,zone_chips_pct
002949.SZ,华阳国际,建筑工程,2.94,6.57,1.0,14.92,,N/A (禁用WINNER)
002956.SZ,西麦食品,食品,4.66,7.27,1.26,29.82,,N/A (禁用WINNER)
603327.SH,福蓉科技,元器件,2.08,6.87,2.29,10.74,,N/A (禁用WINNER)
603995.SH,甬金股份,特种钢,2.03,5.4,0.43,19.52,,N/A (禁用WINNER)
300840.SZ,酷特智能,服饰,2.51,4.21,1.42,19.81,,N/A (禁用WINNER)
300876.SZ,蒙泰高新,化纤,4.31,9.53,0.37,29.76,,N/A (禁用WINNER)
301025.SZ,读客文化,出版业,2.9,4.31,2.66,11.37,,N/A (禁用WINNER)
688037.SH,芯源微,半导体,3.1,17.81,2.19,212.0,,N/A (禁用WINNER)
688600.SH,皖仪科技,电器仪表,2.12,3.96,0.92,29.43,,N/A (禁用WINNER)
605589.SH,圣泉集团,化工原料,2.38,4.34,2.89,39.7,,N/A (禁用WINNER)
605089.SH,味知香,食品,2.8,2.68,0.65,28.38,,N/A (禁用WINNER)
688659.SH,元琛科技,环境保护,2.7,7.77,0.8,10.82,,N/A (禁用WINNER)
688129.SH,东来技术,染料涂料,2.53,10.17,1.57,29.46,,N/A (禁用WINNER)
001215.SZ,千味央厨,食品,2.03,6.7,1.44,46.0,,N/A (禁用WINNER)
688395.SH,正弦电气,机械基件,2.75,6.49,0.45,28.37,,N/A (禁用WINNER)
300989.SZ,蕾奥规划,建筑工程,2.7,2.99,0.61,15.14,,N/A (禁用WINNER)
300854.SZ,中兰环保,环境保护,2.29,17.08,1.87,33.86,,N/A (禁用WINNER)
301112.SZ,信邦智能,专用机械,4.37,11.63,1.69,36.28,,N/A (禁用WINNER)
301665.SZ,泰禾股份,农药化肥,2.39,2.52,3.3,27.69,,N/A (禁用WINNER)
688110.SH,东芯股份,半导体,2.22,12.33,2.42,132.94,,N/A (禁用WINNER)
603132.SH,金徽股份,铅锌,2.7,6.08,3.41,19.9,,N/A (禁用WINNER)
301379.SZ,天山电子,元器件,2.98,7.32,1.57,27.99,,N/A (禁用WINNER)
301157.SZ,华塑科技,电气设备,2.23,6.33,2.31,77.32,,N/A (禁用WINNER)
688209.SH,英集芯,半导体,2.32,3.94,2.41,23.75,,N/A (禁用WINNER)
001226.SZ,拓山重工,工程机械,2.02,3.61,1.11,46.47,,N/A (禁用WINNER)
001231.SZ,农心科技,农药化肥,2.48,5.67,1.6,25.17,,N/A (禁用WINNER)
688213.SH,思特威-W,半导体,2.05,5.83,0.72,96.94,,N/A (禁用WINNER)
301337.SZ,亚华电子,软件服务,2.38,2.62,0.18,28.2,,N/A (禁用WINNER)
301456.SZ,盘古智能,电气设备,2.27,4.01,0.84,30.87,,N/A (禁用WINNER)
301272.SZ,英华特,专用机械,2.61,4.85,0.07,44.55,,N/A (禁用WINNER)
301378.SZ,通达海,软件服务,3.28,5.84,2.59,33.15,,N/A (禁用WINNER)
301391.SZ,卡莱特,IT设备,2.02,14.75,0.13,88.7,,N/A (禁用WINNER)
001256.SZ,炜冈科技,轻工机械,2.23,6.02,2.25,24.99,,N/A (禁用WINNER)
688371.SH,菲沃泰,元器件,2.14,2.64,1.37,21.8,,N/A (禁用WINNER)
688409.SH,富创精密,半导体,2.3,16.03,1.73,120.42,,N/A (禁用WINNER)
301383.SZ,天键股份,元器件,2.81,4.73,2.21,29.43,,N/A (禁用WINNER)
688361.SH,中科飞测,半导体,2.15,10.11,2.56,184.57,,N/A (禁用WINNER)
001278.SZ,一彬科技,汽车配件,2.07,4.43,0.42,22.18,,N/A (禁用WINNER)
688671.SH,碧兴物联,环境保护,2.31,4.18,0.14,22.45,,N/A (禁用WINNER)
688593.SH,新相微,半导体,2.17,9.56,2.43,34.26,,N/A (禁用WINNER)
603194.SH,中力股份,工程机械,2.48,6.57,0.06,35.7,,N/A (禁用WINNER)
001277.SZ,速达股份,专用机械,2.62,2.54,0.83,35.98,,N/A (禁用WINNER)
603091.SH,众鑫股份,家居用品,3.72,4.94,0.05,85.85,,N/A (禁用WINNER)
688721.SH,龙图光罩,半导体,3.81,11.59,3.15,48.13,,N/A (禁用WINNER)
688755.SH,汉邦科技,专用机械,4.04,4.13,3.33,39.05,,N/A (禁用WINNER)
