symbol,symbol_name,timestamps,open,high,low,close,volume,amount,bi_direction,in_zhongshu,is_bi_start,is_bi_end,bi_position,star_buy,star_sell,expma_cross,trend_regime,cci
sz399006,创业板指,2015-09-02 00:00:00,178.771,195.391,177.918,185.503,38372944,1367946241,无,0,0,0,无,0,0,,其他,0.0
sz399006,创业板指,2015-09-07 00:00:00,188.286,195.34,187.826,189.352,37806241,1367929661,无,0,0,0,无,0,0,金叉,上升趋势,66.7
sz399006,创业板指,2015-09-08 00:00:00,187.567,200.481,185.92,200.116,36849649,1367720076,无,0,0,0,无,0,0,,上升趋势,100.0
sz399006,创业板指,2015-09-09 00:00:00,202.331,210.223,201.71,207.172,50760168,1372241911,无,0,0,0,无,0,0,,上升趋势,125.2
sz399006,创业板指,2015-09-10 00:00:00,203.003,207.842,202.489,203.912,35482570,1368089988,无,0,0,0,无,0,0,,上升趋势,75.7
sz399006,创业板指,2015-09-11 00:00:00,203.901,208.405,202.981,206.05,32555430,1367312974,无,0,0,0,无,0,0,,上升趋势,68.2
sz399006,创业板指,2015-09-14 00:00:00,206.82,207.567,190.52,190.621,34890885,1367220027,无,0,0,0,无,0,0,,上升趋势,-17.6
sz399006,创业板指,2015-09-15 00:00:00,184.323,189.281,179.429,179.756,33039214,1365081494,无,0,0,0,无,0,0,,震荡偏多,-122.4
sz399006,创业板指,2015-09-16 00:00:00,181.373,192.878,180.875,192.625,39024402,1367648607,无,0,0,0,无,0,0,,震荡偏多,-60.1
sz399006,创业板指,2015-09-17 00:00:00,194.329,202.055,192.28,193.33,47985104,1370599292,无,0,0,0,无,0,0,,震荡偏多,5.7
sz399006,创业板指,2015-09-18 00:00:00,194.812,199.55,192.214,198.33,37674215,1368088156,无,0,0,0,无,0,0,,上升趋势,13.8
sz399006,创业板指,2015-09-21 00:00:00,195.033,208.022,194.535,207.906,43477603,1369992707,无,0,0,0,无,0,0,,上升趋势,80.5
sz399006,创业板指,2015-09-22 00:00:00,208.234,210.856,204.213,207.872,47584444,1371341395,无,0,0,0,无,0,0,,上升趋势,107.2
sz399006,创业板指,2015-09-23 00:00:00,203.949,210.322,203.606,207.799,41306381,1369862797,无,0,0,0,无,0,0,,上升趋势,90.7
sz399006,创业板指,2015-09-24 00:00:00,209.056,213.047,208.431,210.659,43139456,1370522724,无,0,0,0,无,0,0,,上升趋势,105.6
sz399006,创业板指,2015-09-25 00:00:00,209.185,210.695,200.245,202.097,41100874,1369439151,无,0,0,0,无,0,0,,上升趋势,38.9
sz399006,创业板指,2015-09-28 00:00:00,202.489,212.406,200.792,212.226,37858681,1368710501,无,0,0,0,无,0,0,,上升趋势,71.3
sz399006,创业板指,2015-09-29 00:00:00,208.954,213.551,207.597,209.857,38424618,1369220322,无,0,0,0,无,0,0,,上升趋势,84.6
sz399006,创业板指,2015-09-30 00:00:00,211.199,212.429,204.943,208.267,29708449,1366228282,无,0,0,0,无,0,0,,上升趋势,62.7
sz399006,创业板指,2015-10-08 00:00:00,215.312,221.003,213.854,219.031,42031221,1369965988,无,0,0,0,无,0,0,,上升趋势,132.1
sz399006,创业板指,2015-10-09 00:00:00,219.084,223.003,218.455,221.666,42927691,1370210017,无,0,0,0,无,0,0,,上升趋势,138.8
sz399006,创业板指,2015-10-12 00:00:00,223.361,234.421,223.227,231.678,55775629,1374389302,无,0,0,0,无,0,0,,上升趋势,198.5
sz399006,创业板指,2015-10-13 00:00:00,229.793,235.152,229.064,234.204,50249441,1372998106,无,0,0,0,无,0,0,,上升趋势,177.0
sz399006,创业板指,2015-10-14 00:00:00,233.008,235.059,229.56,230.5,52435987,1373398514,无,0,0,0,无,0,0,,上升趋势,129.5
sz399006,创业板指,2015-10-15 00:00:00,230.062,240.621,229.679,240.453,56549121,1374799204,无,0,0,0,无,0,0,,上升趋势,133.8
sz399006,创业板指,2015-10-16 00:00:00,242.462,245.294,240.109,244.903,61932153,1376333196,无,0,0,0,无,0,0,,上升趋势,141.3
sz399006,创业板指,2015-10-19 00:00:00,246.511,246.648,239.834,243.36,57914034,1375761546,无,0,0,0,无,0,0,,上升趋势,115.3
