symbol,symbol_name,timestamps,open,high,low,close,volume,amount,bi_direction,in_zhongshu,is_bi_start,is_bi_end,bi_position,star_buy,star_sell,expma_cross,trend_regime,cci
sh513120,港股创新药ETF广发,2022-07-12 00:00:00,0.962,0.978,0.93,0.943,179607378,1294184741,无,0,0,0,无,0,0,,其他,0.0
sh513120,港股创新药ETF广发,2022-07-13 00:00:00,0.949,0.968,0.938,0.95,39815500,1276146284,无,0,0,0,无,0,0,金叉,上升趋势,66.7
sh513120,港股创新药ETF广发,2022-07-14 00:00:00,0.953,0.979,0.947,0.975,34647900,1275057717,无,0,0,0,无,0,0,,上升趋势,100.0
sh513120,港股创新药ETF广发,2022-07-15 00:00:00,0.975,0.975,0.946,0.948,27115900,1271274673,无,0,0,0,无,0,0,,上升趋势,-1.0
sh513120,港股创新药ETF广发,2022-07-18 00:00:00,0.949,0.958,0.928,0.956,11752478,1261025592,无,0,0,0,无,0,0,,上升趋势,-85.7
sh513120,港股创新药ETF广发,2022-07-19 00:00:00,0.954,0.963,0.937,0.943,25727578,1270456048,无,0,0,0,无,0,0,,上升趋势,-70.3
sh513120,港股创新药ETF广发,2022-07-20 00:00:00,0.95,0.98,0.95,0.966,20725500,1268323098,无,0,0,0,无,0,0,,上升趋势,102.3
sh513120,港股创新药ETF广发,2022-07-21 00:00:00,0.965,0.974,0.965,0.968,18740200,1267375386,无,0,0,0,无,0,0,,上升趋势,105.3
sh513120,港股创新药ETF广发,2022-07-22 00:00:00,0.971,0.978,0.949,0.957,29310200,1272370522,无,0,0,0,无,0,0,,上升趋势,35.8
sh513120,港股创新药ETF广发,2022-07-25 00:00:00,0.955,0.959,0.93,0.939,17251800,1266043034,无,0,0,0,无,0,0,,震荡偏多,-111.7
sh513120,港股创新药ETF广发,2022-07-26 00:00:00,0.94,0.949,0.933,0.943,17353700,1266240713,无,0,0,0,无,0,0,,震荡偏多,-103.2
sh513120,港股创新药ETF广发,2022-07-27 00:00:00,0.938,0.946,0.93,0.932,11166100,1260375701,无,0,0,0,无,0,0,,震荡偏多,-127.0
sh513120,港股创新药ETF广发,2022-07-28 00:00:00,0.935,0.943,0.932,0.936,15104800,1264060566,无,0,0,0,无,0,0,,下降趋势,-106.9
sh513120,港股创新药ETF广发,2022-07-29 00:00:00,0.934,0.934,0.899,0.903,43174000,1276520046,无,0,0,0,无,0,0,死叉,下降趋势,-219.8
sh513120,港股创新药ETF广发,2022-08-01 00:00:00,0.906,0.906,0.891,0.896,30802100,1272075964,无,0,0,0,无,0,0,,下降趋势,-212.8
sh513120,港股创新药ETF广发,2022-08-02 00:00:00,0.888,0.892,0.855,0.866,24079200,1268703966,无,0,0,0,无,0,0,,下降趋势,-222.6
sh513120,港股创新药ETF广发,2022-08-03 00:00:00,0.87,0.884,0.87,0.871,14653000,1262765284,无,0,0,0,无,0,0,,下降趋势,-153.6
sh513120,港股创新药ETF广发,2022-08-04 00:00:00,0.879,0.9,0.879,0.895,15196300,1263487047,无,0,0,0,无,1,0,,下降趋势,-88.7
sh513120,港股创新药ETF广发,2022-08-05 00:00:00,0.927,0.934,0.899,0.927,21000399,1268031541,无,0,0,0,无,0,0,,下降趋势,-15.3
sh513120,港股创新药ETF广发,2022-08-08 00:00:00,0.926,0.945,0.923,0.938,13743800,1262787396,无,0,0,0,无,0,0,,下降趋势,25.1
sh513120,港股创新药ETF广发,2022-08-09 00:00:00,0.942,0.942,0.93,0.939,18660000,1267004806,无,0,0,0,无,0,0,,震荡偏空,36.8
sh513120,港股创新药ETF广发,2022-08-10 00:00:00,0.93,0.93,0.892,0.896,22281000,1268347062,无,0,0,0,无,0,0,,下降趋势,-37.5
sh513120,港股创新药ETF广发,2022-08-11 00:00:00,0.912,0.93,0.906,0.926,17405200,1265947081,无,0,0,0,无,0,0,,震荡偏空,15.4
sh513120,港股创新药ETF广发,2022-08-12 00:00:00,0.922,0.933,0.918,0.927,9134900,1258368696,无,0,0,0,无,0,0,,震荡偏空,38.7
sh513120,港股创新药ETF广发,2022-08-15 00:00:00,0.924,0.934,0.919,0.927,12892900,1261866937,无,0,0,0,无,0,0,,震荡偏空,46.9
sh513120,港股创新药ETF广发,2022-08-16 00:00:00,0.935,0.935,0.907,0.915,15451500,1264183485,无,0,0,0,无,0,0,,震荡偏空,25.0
sh513120,港股创新药ETF广发,2022-08-17 00:00:00,0.918,0.923,0.905,0.91,13346400,1262105804,无,0,0,0,无,0,0,,震荡偏空,8.0
sh513120,港股创新药ETF广发,2022-08-18 00:00:00,0.908,0.908,0.891,0.895,10158500,1259005860,无,0,0,0,无,0,0,,下降趋势,-45.9
sh513120,港股创新药ETF广发,2022-08-19 00:00:00,0.888,0.897,0.883,0.884,9951100,1258754622,无,0,0,0,无,0,0,,下降趋势,-78.6
sh513120,港股创新药ETF广发,2022-08-22 00:00:00,0.885,0.895,0.88,0.893,17297300,1265272514,无,0,0,0,无,0,0,,下降趋势,-85.7
