symbol,symbol_name,timestamps,open,high,low,close,volume,amount,bi_direction,in_zhongshu,is_bi_start,is_bi_end,bi_position,star_buy,star_sell,expma_cross,trend_regime,cci
sz159740,恒生科技ETF大成,2021-05-27 00:00:00,0.998,0.998,0.984,0.995,101809821,1287689225,无,0,0,0,无,0,0,,其他,0.0
sz159740,恒生科技ETF大成,2021-05-28 00:00:00,0.998,0.999,0.972,0.977,29466360,1272842325,无,0,0,0,无,0,0,死叉,下降趋势,-66.7
sz159740,恒生科技ETF大成,2021-05-31 00:00:00,0.981,0.992,0.98,0.991,25723974,1270962215,无,0,0,0,无,0,0,,下降趋势,2.3
sz159740,恒生科技ETF大成,2021-06-01 00:00:00,0.993,1.015,0.993,1.015,92607503,1286723971,无,0,0,0,无,0,0,金叉,上升趋势,133.3
sz159740,恒生科技ETF大成,2021-06-02 00:00:00,1.018,1.022,1.007,1.009,46451147,1278443152,无,0,0,0,无,0,0,,上升趋势,98.7
sz159740,恒生科技ETF大成,2021-06-03 00:00:00,1.01,1.02,0.999,1.001,40393900,1276882556,无,0,0,0,无,0,0,,上升趋势,52.2
sz159740,恒生科技ETF大成,2021-06-04 00:00:00,0.998,1.009,0.993,0.999,24822702,1270712417,无,0,0,0,无,0,0,,上升趋势,12.4
sz159740,恒生科技ETF大成,2021-06-07 00:00:00,1.0,1.003,0.985,0.992,14353515,1264144939,无,0,0,0,无,0,0,,上升趋势,-34.3
sz159740,恒生科技ETF大成,2021-06-08 00:00:00,0.993,0.996,0.979,0.981,18618750,1267453024,无,0,0,0,无,0,0,死叉,下降趋势,-81.3
sz159740,恒生科技ETF大成,2021-06-09 00:00:00,0.981,0.988,0.979,0.981,14241552,1263882613,无,0,0,0,无,0,0,,下降趋势,-88.8
sz159740,恒生科技ETF大成,2021-06-10 00:00:00,0.985,0.991,0.978,0.98,13295928,1262995629,无,0,0,0,无,0,0,,下降趋势,-79.0
sz159740,恒生科技ETF大成,2021-06-11 00:00:00,0.981,0.992,0.979,0.981,12468093,1262157492,无,0,0,0,无,0,0,,下降趋势,-67.2
sz159740,恒生科技ETF大成,2021-06-15 00:00:00,0.985,0.989,0.97,0.979,8424086,1258002214,无,0,0,0,无,0,0,,下降趋势,-92.1
sz159740,恒生科技ETF大成,2021-06-16 00:00:00,0.979,0.979,0.967,0.968,8217990,1257464357,无,0,0,0,无,0,0,,下降趋势,-130.3
sz159740,恒生科技ETF大成,2021-06-17 00:00:00,0.966,0.975,0.959,0.975,11676879,1261236713,无,0,0,0,无,1,0,,下降趋势,-119.6
sz159740,恒生科技ETF大成,2021-06-18 00:00:00,0.978,1.001,0.978,0.993,14234861,1264051411,无,0,0,0,无,0,0,,下降趋势,6.8
sz159740,恒生科技ETF大成,2021-06-21 00:00:00,0.989,0.992,0.981,0.988,16515189,1266172145,无,0,0,0,无,0,0,,下降趋势,-16.1
sz159740,恒生科技ETF大成,2021-06-22 00:00:00,0.987,0.99,0.973,0.976,13727334,1263343364,无,0,0,0,无,0,0,,下降趋势,-55.8
sz159740,恒生科技ETF大成,2021-06-23 00:00:00,0.976,0.999,0.976,0.995,17366051,1266862498,无,0,0,0,无,0,0,,震荡偏空,36.2
sz159740,恒生科技ETF大成,2021-06-24 00:00:00,0.999,1.007,0.997,1.002,14098757,1264030876,无,0,0,0,无,0,0,,震荡偏空,153.8
sz159740,恒生科技ETF大成,2021-06-25 00:00:00,1.006,1.023,1.006,1.022,44710056,1278032583,无,0,0,0,无,0,0,金叉,上升趋势,237.8
