symbol,symbol_name,timestamps,open,high,low,close,volume,amount,bi_direction,in_zhongshu,is_bi_start,is_bi_end,bi_position,star_buy,star_sell,expma_cross,trend_regime,cci
sz159326,电网设备ETF华夏,2024-09-09 00:00:00,0.986,0.992,0.979,0.983,89202144,1286075117,无,0,0,0,无,0,0,,其他,0.0
sz159326,电网设备ETF华夏,2024-09-10 00:00:00,0.98,0.987,0.97,0.984,21394804,1268799335,向上,0,1,0,start,0,0,金叉,上升趋势,-66.7
sz159326,电网设备ETF华夏,2024-09-11 00:00:00,0.98,1.004,0.98,1.0,38926842,1276377414,向上,0,0,0,start,0,0,,上升趋势,100.0
sz159326,电网设备ETF华夏,2024-09-12 00:00:00,1.0,1.017,0.996,1.005,28382053,1272625080,向上,0,0,0,start,0,0,,上升趋势,109.0
sz159326,电网设备ETF华夏,2024-09-13 00:00:00,1.005,1.008,0.995,1.0,12226600,1262150316,向上,0,0,0,start,0,0,,上升趋势,59.0
sz159326,电网设备ETF华夏,2024-09-18 00:00:00,1.0,1.015,0.99,1.01,21850906,1269291092,向上,0,0,0,mid,0,0,,上升趋势,74.3
sz159326,电网设备ETF华夏,2024-09-19 00:00:00,1.01,1.019,1.003,1.012,11193680,1261201457,向上,0,0,0,mid,0,0,,上升趋势,97.2
sz159326,电网设备ETF华夏,2024-09-20 00:00:00,1.01,1.012,1.0,1.007,10716862,1260663574,向上,0,0,0,mid,0,0,,上升趋势,56.3
sz159326,电网设备ETF华夏,2024-09-23 00:00:00,1.003,1.017,1.001,1.001,14649834,1264687055,向上,0,0,0,mid,0,0,,上升趋势,52.6
sz159326,电网设备ETF华夏,2024-09-24 00:00:00,1.002,1.021,0.993,1.017,11077822,1261097461,向上,0,0,0,mid,0,0,,上升趋势,77.0
sz159326,电网设备ETF华夏,2024-09-25 00:00:00,1.017,1.058,1.017,1.035,13776332,1264303388,向上,0,0,0,mid,0,0,,上升趋势,219.2
sz159326,电网设备ETF华夏,2024-09-26 00:00:00,1.035,1.045,1.017,1.044,4802657,1251386940,向上,0,0,0,end,0,0,,上升趋势,170.4
sz159326,电网设备ETF华夏,2024-09-27 00:00:00,1.045,1.1,1.045,1.085,8574260,1259039372,向上,1,0,0,end,0,0,,上升趋势,248.4
sz159326,电网设备ETF华夏,2024-09-30 00:00:00,1.119,1.194,1.085,1.193,9777833,1260998513,向上,1,0,0,end,0,0,,上升趋势,290.6
sz159326,电网设备ETF华夏,2024-10-08 00:00:00,1.312,1.312,1.17,1.219,11590353,1264167452,向下,1,1,1,start,0,0,,上升趋势,260.0
sz159326,电网设备ETF华夏,2024-10-09 00:00:00,1.229,1.229,1.146,1.159,8572648,1259985607,向下,1,0,0,start,0,0,,上升趋势,134.7
sz159326,电网设备ETF华夏,2024-10-10 00:00:00,1.16,1.179,1.135,1.154,8538483,1259829059,向下,1,0,0,start,0,0,,上升趋势,89.1
sz159326,电网设备ETF华夏,2024-10-11 00:00:00,1.14,1.155,1.1,1.115,4471800,1251527655,向下,1,0,0,mid,0,0,,上升趋势,47.8
sz159326,电网设备ETF华夏,2024-10-14 00:00:00,1.11,1.138,1.104,1.129,4391637,1251418269,向下,1,0,0,mid,0,0,,上升趋势,40.1
sz159326,电网设备ETF华夏,2024-10-15 00:00:00,1.115,1.126,1.097,1.099,3635700,1249286468,向下,1,0,0,end,0,0,,上升趋势,17.9
sz159326,电网设备ETF华夏,2024-10-16 00:00:00,1.099,1.109,1.082,1.098,5910104,1254473711,向下,1,0,0,end,0,0,,上升趋势,0.1
sz159326,电网设备ETF华夏,2024-10-17 00:00:00,1.098,1.108,1.082,1.088,12453501,1263525137,向上,1,1,1,start,0,0,,震荡偏多,-12.5
sz159326,电网设备ETF华夏,2024-10-18 00:00:00,1.083,1.144,1.083,1.127,14384314,1265807810,向上,1,0,0,start,0,0,,震荡偏多,11.2
sz159326,电网设备ETF华夏,2024-10-21 00:00:00,1.14,1.144,1.115,1.123,15658361,1267114447,向上,1,0,0,start,0,0,,震荡偏多,15.0
sz159326,电网设备ETF华夏,2024-10-22 00:00:00,1.123,1.154,1.116,1.154,11992319,1263612281,向上,1,0,0,start,0,0,,震荡偏多,29.8
sz159326,电网设备ETF华夏,2024-10-23 00:00:00,1.155,1.17,1.146,1.152,10811263,1262423539,向上,1,0,0,start,0,0,,震荡偏多,46.3
sz159326,电网设备ETF华夏,2024-10-24 00:00:00,1.152,1.152,1.139,1.148,9274201,1260518645,向上,1,0,0,mid,0,0,,震荡偏多,16.0
sz159326,电网设备ETF华夏,2024-10-25 00:00:00,1.15,1.162,1.142,1.162,11909973,1263633962,向上,1,0,0,mid,0,0,,上升趋势,38.7
sz159326,电网设备ETF华夏,2024-10-28 00:00:00,1.162,1.166,1.146,1.163,9709261,1261136929,向上,1,0,0,mid,0,0,,上升趋势,74.2
sz159326,电网设备ETF华夏,2024-10-29 00:00:00,1.163,1.178,1.158,1.161,9648784,1261131898,向上,1,0,0,mid,0,0,,震荡偏多,103.7
sz159326,电网设备ETF华夏,2024-10-30 00:00:00,1.157,1.172,1.147,1.159,11430301,1263177866,向上,1,0,0,mid,0,0,,震荡偏多,81.6
sz159326,电网设备ETF华夏,2024-10-31 00:00:00,1.162,1.166,1.149,1.152,10750000,1262318341,向上,1,0,0,mid,0,0,,震荡偏多,61.2
sz159326,电网设备ETF华夏,2024-11-01 00:00:00,1.146,1.158,1.132,1.142,8619009,1259765517,向上,1,0,0,mid,0,0,,震荡偏多,21.2
sz159326,电网设备ETF华夏,2024-11-04 00:00:00,1.148,1.163,1.148,1.161,9177701,1260524790,向上,1,0,0,end,0,0,,震荡偏多,58.9
sz159326,电网设备ETF华夏,2024-11-05 00:00:00,1.161,1.19,1.155,1.182,12051403,1264033541,向上,1,0,0,end,0,0,,震荡偏多,122.9
sz159326,电网设备ETF华夏,2024-11-06 00:00:00,1.179,1.206,1.179,1.188,11306111,1263388617,向上,1,0,0,end,0,0,,震荡偏多,190.8
sz159326,电网设备ETF华夏,2024-11-07 00:00:00,1.182,1.2,1.181,1.199,3911105,1250832977,向上,1,0,0,end,0,0,,上升趋势,178.2
sz159326,电网设备ETF华夏,2024-11-08 00:00:00,1.205,1.22,1.194,1.198,10271401,1262275821,向下,1,1,1,start,0,0,,上升趋势,172.1
sz159326,电网设备ETF华夏,2024-11-11 00:00:00,1.198,1.202,1.184,1.201,12865712,1265240464,向下,1,0,0,start,0,0,,上升趋势,108.1
sz159326,电网设备ETF华夏,2024-11-12 00:00:00,1.206,1.216,1.177,1.182,6631511,1257407058,向下,1,0,0,start,0,0,,震荡偏多,77.0
sz159326,电网设备ETF华夏,2024-11-13 00:00:00,1.175,1.201,1.175,1.2,5772400,1255238831,向下,1,0,0,start,0,0,,震荡偏多,67.0
sz159326,电网设备ETF华夏,2024-11-14 00:00:00,1.2,1.208,1.172,1.174,4160003,1251404548,向下,1,0,0,mid,0,0,,震荡偏多,33.0
