symbol,symbol_name,timestamps,open,high,low,close,volume,amount,bi_direction,in_zhongshu,is_bi_start,is_bi_end,bi_position,star_buy,star_sell,expma_cross,trend_regime,cci
sh601012,隆基绿能,2015-09-02 00:00:00,0.85,0.929,0.829,0.919,32953043,1301032424,无,0,0,0,无,0,0,,其他,0.0
sh601012,隆基绿能,2015-09-07 00:00:00,0.91,0.978,0.91,0.932,16242977,1293093248,无,0,0,0,无,0,0,金叉,上升趋势,66.7
sh601012,隆基绿能,2015-09-08 00:00:00,0.941,0.985,0.928,0.979,15784085,1292870375,无,0,0,0,无,0,0,,上升趋势,80.2
sh601012,隆基绿能,2015-09-09 00:00:00,0.994,1.048,0.982,1.038,32735479,1302291688,无,0,0,0,无,0,0,,上升趋势,117.4
sh601012,隆基绿能,2015-09-10 00:00:00,1.02,1.022,0.981,0.988,18652676,1295194272,无,0,0,0,无,0,0,,上升趋势,59.9
sh601012,隆基绿能,2015-09-11 00:00:00,0.979,1.01,0.979,0.992,11398150,1289228533,无,0,0,0,无,0,0,,上升趋势,46.8
sh601012,隆基绿能,2015-09-14 00:00:00,0.995,1.002,0.893,0.893,18623062,1294408937,无,0,0,0,无,0,0,,上升趋势,-61.6
sh601012,隆基绿能,2015-09-15 00:00:00,0.87,0.883,0.805,0.808,19902146,1293894100,无,0,0,0,无,0,0,,下降趋势,-159.0
sh601012,隆基绿能,2015-09-16 00:00:00,0.81,0.889,0.81,0.889,20320310,1294237325,无,0,0,0,无,0,0,死叉,下降趋势,-96.2
sh601012,隆基绿能,2015-09-17 00:00:00,0.892,0.915,0.858,0.86,20969012,1295139955,无,0,0,0,无,0,0,,下降趋势,-68.1
sh601012,隆基绿能,2015-09-18 00:00:00,0.865,0.893,0.862,0.878,11148992,1287261581,无,0,0,0,无,0,0,,下降趋势,-61.7
sh601012,隆基绿能,2015-09-21 00:00:00,0.87,0.942,0.859,0.938,21342179,1295608516,无,0,0,0,无,0,0,,下降趋势,-16.5
sh601012,隆基绿能,2015-09-22 00:00:00,0.94,0.967,0.931,0.942,18639452,1294506471,无,0,0,0,无,0,0,,下降趋势,28.1
sh601012,隆基绿能,2015-09-23 00:00:00,0.92,0.939,0.911,0.918,13359549,1290473236,无,0,0,0,无,0,0,,下降趋势,-5.9
sh601012,隆基绿能,2015-09-24 00:00:00,0.925,0.952,0.919,0.944,16512398,1293131892,无,0,0,0,无,0,0,,震荡偏空,13.5
sh601012,隆基绿能,2015-09-25 00:00:00,1.002,1.014,0.94,0.956,58750179,1309242372,无,0,0,0,无,0,0,金叉,上升趋势,57.5
sh601012,隆基绿能,2015-09-28 00:00:00,0.925,0.955,0.908,0.947,20706023,1295485274,无,0,0,0,无,0,0,,上升趋势,10.5
sh601012,隆基绿能,2015-09-29 00:00:00,0.944,0.944,0.898,0.911,18975894,1294379770,无,0,0,0,无,0,0,,上升趋势,-8.9
sh601012,隆基绿能,2015-09-30 00:00:00,0.905,0.925,0.905,0.915,10278010,1286827875,无,0,0,0,无,0,0,,上升趋势,-3.5
sh601012,隆基绿能,2015-10-08 00:00:00,0.959,0.973,0.943,0.958,23215317,1297341669,无,0,0,0,无,0,0,,上升趋势,98.8
sh601012,隆基绿能,2015-10-09 00:00:00,0.958,0.972,0.952,0.966,17011924,1293696617,无,0,0,0,无,0,0,,上升趋势,98.8
sh601012,隆基绿能,2015-10-12 00:00:00,0.968,1.063,0.968,1.063,51925817,1308547057,无,0,0,0,无,0,0,,上升趋势,204.9
sh601012,隆基绿能,2015-10-13 00:00:00,1.098,1.169,1.087,1.169,88670254,1315999862,无,0,0,0,无,0,0,,上升趋势,286.7
sh601012,隆基绿能,2015-10-14 00:00:00,1.2,1.272,1.145,1.21,112539619,1319189450,无,0,0,0,无,0,0,,上升趋势,238.6
sh601012,隆基绿能,2015-10-15 00:00:00,1.199,1.27,1.186,1.243,73130171,1314338711,无,0,0,0,无,0,0,,上升趋势,176.7
sh601012,隆基绿能,2015-10-16 00:00:00,1.245,1.252,1.2,1.236,67796499,1313234756,无,0,0,0,无,0,0,,上升趋势,131.8
sh601012,隆基绿能,2015-10-19 00:00:00,1.238,1.288,1.224,1.253,69083772,1313765565,无,0,0,0,无,0,0,,上升趋势,116.2
sh601012,隆基绿能,2015-10-20 00:00:00,1.301,1.336,1.26,1.278,82496457,1316997202,无,0,0,0,无,0,0,,上升趋势,110.1
sh601012,隆基绿能,2015-10-21 00:00:00,1.265,1.278,1.15,1.15,84147927,1316073041,无,0,0,0,无,0,1,,上升趋势,52.1
sh601012,隆基绿能,2015-10-22 00:00:00,1.135,1.193,1.121,1.18,47665818,1308878728,无,0,0,0,无,0,0,,上升趋势,32.3
sh601012,隆基绿能,2015-10-23 00:00:00,1.198,1.218,1.169,1.19,57521418,1310976235,无,0,0,0,无,0,0,,上升趋势,40.6
sh601012,隆基绿能,2015-10-26 00:00:00,1.214,1.295,1.17,1.287,89803608,1317308347,无,0,0,0,无,0,0,,上升趋势,69.1
sh601012,隆基绿能,2015-10-27 00:00:00,1.245,1.266,1.158,1.249,67906932,1313289983,无,0,0,0,无,0,0,,上升趋势,46.6
sh601012,隆基绿能,2015-10-28 00:00:00,1.249,1.285,1.225,1.233,49721781,1309978914,无,0,0,0,无,0,0,,上升趋势,62.4
sh601012,隆基绿能,2015-10-29 00:00:00,1.238,1.28,1.212,1.252,45722662,1309160047,无,0,0,0,无,0,0,,上升趋势,59.0
sh601012,隆基绿能,2015-10-30 00:00:00,1.26,1.267,1.213,1.233,31399369,1303994170,无,0,0,0,无,0,0,,上升趋势,32.9
sh601012,隆基绿能,2015-11-02 00:00:00,1.199,1.245,1.173,1.182,29445426,1303000877,无,0,0,0,无,0,0,,震荡偏多,-70.3
sh601012,隆基绿能,2015-11-03 00:00:00,1.182,1.216,1.159,1.201,26965874,1301884228,无,0,0,0,无,0,0,,震荡偏多,-83.6
