symbol,symbol_name,timestamps,open,high,low,close,volume,amount,bi_direction,in_zhongshu,is_bi_start,is_bi_end,bi_position,star_buy,star_sell,expma_cross,trend_regime,cci
sh000001,上证指数,2015-09-02 00:00:00,302.768,319.448,301.909,316.017,438170153,1388648654,无,0,0,0,无,0,0,,其他,0.0
sh000001,上证指数,2015-09-07 00:00:00,314.938,321.758,306.63,308.042,296468114,1384969069,无,0,0,0,无,0,0,死叉,下降趋势,-66.7
sh000001,上证指数,2015-09-08 00:00:00,305.444,317.471,301.112,317.045,255415465,1383450915,无,0,0,0,无,0,0,,下降趋势,-94.7
sh000001,上证指数,2015-09-09 00:00:00,318.255,325.674,316.57,324.309,375327978,1388335210,无,0,0,0,无,0,0,金叉,上升趋势,133.3
sh000001,上证指数,2015-09-10 00:00:00,319.055,324.328,317.89,319.789,273261759,1384874201,无,0,0,0,无,0,0,,上升趋势,72.0
sh000001,上证指数,2015-09-11 00:00:00,318.948,322.376,316.345,320.023,224557822,1382770928,无,0,0,0,无,0,0,,上升趋势,47.7
sh000001,上证指数,2015-09-14 00:00:00,322.117,322.948,304.923,311.48,346631158,1387132371,无,0,0,0,无,0,0,,上升趋势,-46.7
sh000001,上证指数,2015-09-15 00:00:00,304.38,308.17,298.392,300.517,249194445,1382229859,无,0,0,0,无,0,0,死叉,下降趋势,-162.9
sh000001,上证指数,2015-09-16 00:00:00,299.804,318.293,298.354,315.226,277524524,1384337433,无,0,0,0,无,0,0,,下降趋势,-47.2
sh000001,上证指数,2015-09-17 00:00:00,313.198,320.47,308.531,308.606,317602892,1386028138,无,0,0,0,无,0,0,,下降趋势,-19.2
sh000001,上证指数,2015-09-18 00:00:00,310.028,312.205,307.034,309.792,209175398,1380675772,无,0,0,0,无,0,0,,下降趋势,-61.0
sh000001,上证指数,2015-09-21 00:00:00,307.209,315.988,306.086,315.654,239897354,1383199835,无,0,0,0,无,0,0,,下降趋势,-13.2
sh000001,上证指数,2015-09-22 00:00:00,316.132,321.348,315.248,318.562,274786154,1385041750,无,0,0,0,无,0,0,,震荡偏空,78.0
sh000001,上证指数,2015-09-23 00:00:00,313.772,316.404,310.474,311.589,236322670,1383063321,无,0,0,0,无,0,0,,下降趋势,-14.6
sh000001,上证指数,2015-09-24 00:00:00,312.649,315.116,310.969,314.269,212887723,1381464750,无,0,0,0,无,0,0,,震荡偏空,-4.7
sh000001,上证指数,2015-09-25 00:00:00,313.085,314.995,306.3,309.235,236263871,1382539095,无,0,0,0,无,0,0,,下降趋势,-59.8
sh000001,上证指数,2015-09-28 00:00:00,308.557,310.307,304.231,310.076,156727530,1377500721,无,0,0,0,无,0,0,,下降趋势,-86.0
