symbol,symbol_name,timestamps,open,high,low,close,volume,amount,bi_direction,in_zhongshu,is_bi_start,is_bi_end,bi_position,star_buy,star_sell,expma_cross,trend_regime,cci
sz002129,TCL中环,2015-09-02 00:00:00,1.08,1.217,1.077,1.077,41633523,1306476832,无,0,0,0,无,0,0,,其他,0.0
sz002129,TCL中环,2015-09-07 00:00:00,1.104,1.15,1.077,1.084,33475581,1303450720,无,0,0,0,无,0,0,金叉,上升趋势,-66.7
sz002129,TCL中环,2015-09-08 00:00:00,1.061,1.146,0.979,1.124,56011514,1309386632,无,0,0,0,无,1,0,,上升趋势,-100.0
sz002129,TCL中环,2015-09-09 00:00:00,1.135,1.236,1.12,1.236,75164753,1314128348,无,0,0,0,无,0,0,,上升趋势,133.3
sz002129,TCL中环,2015-09-10 00:00:00,1.197,1.234,1.171,1.175,49227165,1309466419,无,0,0,0,无,0,0,,上升趋势,80.3
sz002129,TCL中环,2015-09-11 00:00:00,1.165,1.192,1.108,1.145,43917054,1307670820,无,0,0,0,无,0,0,,上升趋势,11.9
sz002129,TCL中环,2015-09-14 00:00:00,1.149,1.158,1.031,1.031,44696901,1306921408,无,0,0,0,无,0,0,,上升趋势,-95.0
sz002129,TCL中环,2015-09-15 00:00:00,0.965,0.982,0.928,0.928,35791093,1302412267,无,0,0,0,无,0,0,死叉,下降趋势,-189.9
sz002129,TCL中环,2015-09-16 00:00:00,0.851,1.021,0.851,1.021,130033585,1317978029,无,0,0,0,无,0,0,,下降趋势,-126.7
sz002129,TCL中环,2015-09-17 00:00:00,0.983,1.049,0.958,0.96,106004442,1316736718,无,0,0,0,无,0,0,,下降趋势,-87.2
sz002129,TCL中环,2015-09-18 00:00:00,0.979,0.986,0.93,0.96,49847007,1306723368,无,0,0,0,无,0,0,,下降趋势,-96.7
sz002129,TCL中环,2015-09-21 00:00:00,0.95,1.029,0.937,1.014,60101321,1309485764,无,0,0,0,无,0,0,,下降趋势,-60.4
sz002129,TCL中环,2015-09-22 00:00:00,1.029,1.115,1.014,1.095,116690561,1318556418,无,0,0,0,无,0,0,,下降趋势,8.6
sz002129,TCL中环,2015-09-23 00:00:00,1.055,1.067,1.016,1.028,86496047,1314316828,无,0,0,0,无,0,0,,下降趋势,-24.9
sz002129,TCL中环,2015-09-24 00:00:00,1.046,1.085,1.029,1.046,52586643,1308903807,无,0,0,0,无,0,0,,下降趋势,-4.9
sz002129,TCL中环,2015-09-25 00:00:00,1.03,1.049,0.962,0.974,47478361,1306703696,无,0,0,0,无,0,0,,下降趋势,-55.1
sz002129,TCL中环,2015-09-28 00:00:00,0.98,1.028,0.95,1.017,36658200,1303333697,无,0,0,0,无,0,0,,下降趋势,-45.4
sz002129,TCL中环,2015-09-29 00:00:00,0.993,1.017,0.98,0.997,31385705,1301661671,无,0,0,0,无,0,0,,下降趋势,-37.7
sz002129,TCL中环,2015-09-30 00:00:00,1.009,1.055,1.009,1.021,32939136,1302451603,无,0,0,0,无,0,0,,下降趋势,15.2
sz002129,TCL中环,2015-10-08 00:00:00,1.083,1.1,1.053,1.073,45984283,1307302157,无,0,0,0,无,0,0,,震荡偏空,110.3
sz002129,TCL中环,2015-10-09 00:00:00,1.068,1.135,1.065,1.117,71880258,1312588977,无,0,0,0,无,0,0,,震荡偏空,149.6
sz002129,TCL中环,2015-10-12 00:00:00,1.111,1.218,1.107,1.189,91377647,1316840142,无,0,0,0,无,0,0,金叉,上升趋势,199.0
